word,percent_known,freq,trial_order,rt,accuracy
final,98.90453834,324.440893,67,630,1.0
social,99.20635,324.291432,76,132,1.0
posible,99.67742,322.559634,33,501,1.0
seguridad,99.3617,321.120259,4,697,1.0
muerte,99.5283,320.977296,24,774,1.0
dios,99.18200409,320.226742,37,508,1.0
frente,99.32975871,319.586659,80,726,1.0
nunca,98.27236,318.5144390000001,50,580,1.0
tierra,99.61538,318.342233,25,511,1.0
solo,99.44649,317.377235,88,648,1.0
ley,99.47299078,316.373247,84,514,1.0
proceso,99.0228,314.816903,76,469,1.0
tipo,99.31507,314.446499,63,310,1.0
segundo,98.91156,312.792681,89,706,1.0
real,99.42446,309.384319,91,490,1.0
pueblo,99.67846,308.429069,73,576,1.0
segunda,99.59514,305.907726,91,95,1.0
ayer,99.37888199,303.750289,38,628,1.0
cualquier,98.62068966,301.781302,54,705,1.0
centro,99.27007299,301.651336,80,811,1.0
dar,99.57983193,301.280933,55,703,1.0
fuera,98.76160991,300.501136,37,604,1.0
padre,99.6063,299.493899,5,722,1.0
obra,100.0,298.64587,4,752,1.0
último,99.32203,298.619877,63,835,1.0
dicho,99.65156794,296.316227,60,716,1.0
respecto,98.14241,294.165288,94,1100,1.0
norte,100.0,293.229532,64,807,1.0
sociedad,99.65753,288.82693,65,646,1.0
mujer,99.30314,287.991898,3,623,1.0
relación,99.34853,283.482074,96,743,1.0
sur,99.33993,283.235139,83,718,1.0
equipo,98.80597015,282.871233,27,671,1.0
español,99.63369963,280.700799,73,699,1.0
través,91.77215,280.021727,62,911,1.0
agua,99.60106383,277.367169,22,909,1.0
familia,99.79879276,277.152725,98,455,1.0
tarde,99.14712,275.219479,73,713,1.0
don,97.74590164,274.660625,3,1218,1.0
incluso,99.30795848,273.325223,60,1042,1.0
noche,99.79879,273.282984,16,690,1.0
estar,98.59649123,272.633153,25,511,1.0
zona,99.65157,272.03206,24,805,1.0
información,99.6763754,268.828396,54,713,1.0
serie,99.39759,266.885402,33,537,1.0
mercado,99.33993,266.186834,4,514,1.0
orden,99.36709,265.813182,80,816,1.0
lado,99.12587413,263.616755,97,677,1.0
capital,99.27536232,263.48029,1,1153,1.0
sentido,99.41748,261.826471,42,463,1.0
mar,99.88877,258.564322,30,457,1.0
debido,98.67424242,256.946244,50,855,1.0
cuanto,99.33920705,256.406885,42,1197,1.0
largo,99.78448276,253.853051,26,692,1.0
mundial,99.0566,252.771083,49,704,1.0
cambio,99.29648241,251.63063,38,743,1.0
hijo,100.0,250.977551,42,934,1.0
puesto,99.05482,250.954807,22,914,1.0
mañana,99.84127,247.169544,16,922,1.0
nivel,99.7921,247.120806,38,539,1.0
programa,100.0,246.038839,85,766,1.0
cuerpo,98.84259259,244.30704,4,491,1.0
aquel,98.05194805,242.916403,37,1093,1.0
ministro,99.68652,241.090379,10,892,1.0
primero,99.58246,239.43656,9,728,1.0
universidad,98.99329,239.303345,12,1644,1.0
maría,98.74608,238.819221,83,877,1.0
pesar,99.36441,237.630031,65,612,1.0
todavía,99.66216,236.577306,49,512,1.0
lía,80.0,235.492089,70,1036,1.0
cinco,99.375,234.923487,82,1326,1.0
mano,99.85795,234.319145,47,625,1.0
actual,98.97959184,233.393136,53,747,1.0
principal,100.0,233.139702,95,789,1.0
fuerza,100.0,232.278677,81,887,1.0
provincia,99.68051,232.184451,17,584,1.0
gracias,99.01639344,232.177953,99,789,1.0
principio,99.79036,231.641843,6,720,1.0
julio,99.0,231.489133,58,714,1.0
propuesta,99.64413,231.06674300000003,29,672,1.0
gente,98.93992933,230.836053,90,586,1.0
paso,98.9899,226.683636,80,2093,1.0
campo,99.21875,226.677138,87,557,1.0
alguna,99.70326409,226.404209,23,869,1.0
madre,99.80620155,225.341736,91,220,0.0
partir,99.42363,223.184299,76,598,1.0
común,99.20948617,222.531219,64,587,1.0
base,99.55882353,221.709183,2,1037,0.0
proyecto,99.67949,221.579217,22,1225,1.0
uso,99.58932,221.420009,59,829,1.0
vista,99.58848,221.303039,79,798,1.0
problema,100.0,220.286054,94,602,1.0
región,100.0,220.247064,69,693,1.0
cabeza,99.35553169,220.039119,50,605,1.0
propio,99.59893,219.408783,48,821,1.0
realidad,99.4382,219.116359,73,641,1.0
cuestión,98.93617021,218.836932,65,931,1.0
cosa,99.56989247,217.722473,19,632,1.0
música,99.62477,217.287086,91,537,1.0
iglesia,98.93992933,216.325337,75,750,1.0
paz,99.16898,215.824968,82,667,1.0
