Feature,Language,Term
88,Breton ST,gar
89,Breton ST,gourvez
90,Breton ST,bevan
91,Breton ST,avu
92,Breton ST,hir
93,Breton ST,laouenn
94,Breton ST,gwaz
95,Breton ST,kalz
96,Breton ST,kig
97,Breton ST,mamm
98,Breton ST,menez
99,Breton ST,genou
100,Breton ST,anv
101,Breton ST,strizh
102,Breton ST,tost
103,Breton ST,gouzoug
104,Breton ST,nevez
105,Breton ST,noz
106,Breton ST,fri
107,Breton ST,ne   ket
108,Breton ST,kozh
109,Breton ST,unan
110,Breton ST,all
111,Breton ST,den
112,Breton ST,c'hoari
113,Breton ST,sachan
114,Breton ST,bountan
115,Breton ST,glav a zo
116,Breton ST,ruz
117,Breton ST,reizh
118,Breton ST,dehou
119,Breton ST,ster
120,Breton ST,hent
121,Breton ST,gwrizienn
122,Breton ST,kordenn
123,Breton ST,brein
124,Breton ST,"frotan,rimian"
125,Breton ST,holen
126,Breton ST,traezh
127,Breton ST,lavarout
128,Breton ST,"skraban,kravat"
129,Breton ST,mor
130,Breton ST,gwelout
131,Breton ST,had
132,Breton ST,gwriat
133,Breton ST,lemm
134,Breton ST,berr
135,Breton ST,kanan
136,Breton ST,azezan
137,Breton ST,kroc'hen
138,Breton ST,oabl
139,Breton ST,kousket
140,Breton ST,bihan
141,Breton ST,klevout
142,Breton ST,moged
143,Breton ST,"levn,flour"
144,Breton ST,naer
145,Breton ST,erc'h
146,Breton ST,
147,Breton ST,"tufan,skopan-"
148,Breton ST,faoutan
149,Breton ST,gweskel
150,Breton ST,
151,Breton ST,bezan en e sav
152,Breton ST,steredenn
153,Breton ST,bazh
154,Breton ST,maen
155,Breton ST,eeun
156,Breton ST,"sunan,denan"
157,Breton ST,heol
158,Breton ST,"c'hwezhan,koenvin"
159,Breton ST,"neuin,neunvial"
160,Breton ST,lost
161,Breton ST,an  -se
162,Breton ST,aze
163,Breton ST,"i,int"
164,Breton ST,tev
165,Breton ST,"moan,tanav"
166,Breton ST,"sonjal,meizan"
167,Breton ST,an  -man
168,Breton ST,te
169,Breton ST,tri
170,Breton ST,teurel
171,Breton ST,skoulman
172,Breton ST,teod
173,Breton ST,dant
174,Breton ST,gwezenn
175,Breton ST,trein
176,Breton ST,daou
177,Breton ST,"dislonkan,dic'hwedin"
178,Breton ST,"kerzhout,bale"
179,Breton ST,tomm
180,Breton ST,gwalc'hin
181,Breton ST,dour
182,Breton ST,ni
183,Breton ST,gleb
184,Breton ST,petra
185,Breton ST,"peur,pegoulz"
186,Breton ST,pelec'h
187,Breton ST,gwenn
188,Breton ST,piv
189,Breton ST,ledan
190,Breton ST,gwreg
191,Breton ST,avel
192,Breton ST,askell
193,Breton ST,sec'han
194,Breton ST,gant
195,Breton ST,maouez
196,Breton ST,koad
197,Breton ST,prenv
198,Breton ST,c'hwi
199,Breton ST,bloaz
200,Breton ST,melen
1,Bulgarian,bsicko
2,Bulgarian,i
3,Bulgarian,zivotno
4,Bulgarian,pepel
5,Bulgarian,na
6,Bulgarian,nazad
7,Bulgarian,loso
8,Bulgarian,kora
9,Bulgarian,zascoto
10,Bulgarian,korem
11,Bulgarian,goljamo
12,Bulgarian,ptica
13,Bulgarian,da xape
14,Bulgarian,cerno
15,Bulgarian,krev
16,Bulgarian,da duxa
17,Bulgarian,kost
18,Bulgarian,da disa
19,Bulgarian,da gori
20,Bulgarian,dete
21,Bulgarian,oblak
22,Bulgarian,studeno
23,Bulgarian,da idva
24,Bulgarian,da broi
25,Bulgarian,da reze
26,Bulgarian,den
27,Bulgarian,da umre
28,Bulgarian,da kopae
29,Bulgarian,mresno
30,Bulgarian,kuce
31,Bulgarian,da pie
32,Bulgarian,suxo
33,Bulgarian,tep
34,Bulgarian,prax
35,Bulgarian,uxo
36,Bulgarian,prest
37,Bulgarian,da jade
38,Bulgarian,jajce
39,Bulgarian,oko
40,Bulgarian,da pada
41,Bulgarian,dalec
42,Bulgarian,tlesto
43,Bulgarian,dasca
44,Bulgarian,da se straxuva
45,Bulgarian,pero
46,Bulgarian,malko
47,Bulgarian,da se bie
48,Bulgarian,ogen
49,Bulgarian,riba
50,Bulgarian,pet
51,Bulgarian,da se nosi
52,Bulgarian,da tece
53,Bulgarian,cvete
54,Bulgarian,daleti
55,Bulgarian,megla
56,Bulgarian,krak
57,Bulgarian,cetiri
58,Bulgarian,da zamrezva
59,Bulgarian,plod
60,Bulgarian,da dava
61,Bulgarian,dobro
62,Bulgarian,treva
63,Bulgarian,zeleno
64,Bulgarian,cerva
65,Bulgarian,kosa
66,Bulgarian,reka
67,Bulgarian,toj
68,Bulgarian,glava
69,Bulgarian,da cuva
70,Bulgarian,serce
71,Bulgarian,tezko
72,Bulgarian,tuk
73,Bulgarian,da udari
74,Bulgarian,derzi
75,Bulgarian,kak
76,Bulgarian,da xodis na lov
77,Bulgarian,seprug
78,Bulgarian,az
79,Bulgarian,led
80,Bulgarian,ako
81,Bulgarian,"v,vev"
82,Bulgarian,da ubiva
83,Bulgarian,da znae
84,Bulgarian,ezero
85,Bulgarian,da se smee
86,Bulgarian,list
87,Bulgarian,ljavo
88,Bulgarian,krak
89,Bulgarian,da lezi
90,Bulgarian,da zibee
91,Bulgarian,cerendrob
92,Bulgarian,delgo
93,Bulgarian,veska
94,Bulgarian,mez
95,Bulgarian,mnogo
96,Bulgarian,meso
97,Bulgarian,majka
98,Bulgarian,planina
99,Bulgarian,usta
100,Bulgarian,ime
101,Bulgarian,tesno
102,Bulgarian,blizko
103,Bulgarian,brat
104,Bulgarian,novo
105,Bulgarian,nosc
106,Bulgarian,nos
107,Bulgarian,ne
108,Bulgarian,staro
109,Bulgarian,edno
110,Bulgarian,drugo
111,Bulgarian,lice
112,Bulgarian,da igrae
113,Bulgarian,da derpa
114,Bulgarian,da buta
115,Bulgarian,da vali
116,Bulgarian,cerveno
117,Bulgarian,vjarno
118,Bulgarian,djasno
119,Bulgarian,reka
120,Bulgarian,net
121,Bulgarian,koren
122,Bulgarian,veze
123,Bulgarian,gnilo
124,Bulgarian,terkane
125,Bulgarian,sol
126,Bulgarian,pjasek
127,Bulgarian,da kazva
128,Bulgarian,da cesa
129,Bulgarian,more
130,Bulgarian,da vizda
131,Bulgarian,zerno
132,Bulgarian,da sie
133,Bulgarian,ostro
134,Bulgarian,keso
135,Bulgarian,da pee
136,Bulgarian,da sedi
137,Bulgarian,koza
138,Bulgarian,nebe
139,Bulgarian,da spi
140,Bulgarian,malko
141,Bulgarian,da pomirisva
142,Bulgarian,nusek
143,Bulgarian,gladko
144,Bulgarian,zmija
145,Bulgarian,snjag
146,Bulgarian,njakolko
147,Bulgarian,da pljue
148,Bulgarian,da razcepi
149,Bulgarian,da stisne
150,Bulgarian,da namusi
151,Bulgarian,da stoi
152,Bulgarian,zvezda
153,Bulgarian,precka
154,Bulgarian,kamek
155,Bulgarian,pravo
156,Bulgarian,da smuci
157,Bulgarian,slence
158,Bulgarian,da se podue
159,Bulgarian,da plura
160,Bulgarian,opaska
161,Bulgarian,onova
162,Bulgarian,tam
163,Bulgarian,te
164,Bulgarian,debelo
165,Bulgarian,tenko
166,Bulgarian,da misli
167,Bulgarian,tova
168,Bulgarian,ti
169,Bulgarian,tri
170,Bulgarian,da xverlja
171,Bulgarian,da vrezva
172,Bulgarian,ezik
173,Bulgarian,zeb
174,Bulgarian,dervo
175,Bulgarian,da se verti
176,Bulgarian,dve
177,Bulgarian,da poverne
178,Bulgarian,da vervi
179,Bulgarian,toplo
180,Bulgarian,da mie
181,Bulgarian,voda
182,Bulgarian,nie
183,Bulgarian,mokro
184,Bulgarian,kakvo
185,Bulgarian,koga
186,Bulgarian,kede
187,Bulgarian,bjalo
188,Bulgarian,koj
189,Bulgarian,siroko
190,Bulgarian,sepruga
191,Bulgarian,vjater
192,Bulgarian,krilo
193,Bulgarian,iztrivane
194,Bulgarian,"s,ses"
195,Bulgarian,zena
196,Bulgarian,gora
197,Bulgarian,cervej
198,Bulgarian,vie
199,Bulgarian,godina
200,Bulgarian,zelto
1,Byelorussian,"wse,wse"
2,Byelorussian,i
3,Byelorussian,zyvela
4,Byelorussian,popel
5,Byelorussian,"pry,kalja,lja"
6,Byelorussian,"zad,advarot"
7,Byelorussian,"blagi,drinny"
8,Byelorussian,kara
9,Byelorussian,"tamu,dzelja,tago sto"
10,Byelorussian,"bruxa,zyvot"
11,Byelorussian,vjaliki
12,Byelorussian,ptuska
13,Byelorussian,kusac'
14,Byelorussian,corny
15,Byelorussian,krow
16,Byelorussian,dz'muc'
17,Byelorussian,kostka
18,Byelorussian,dyxac'
19,Byelorussian,palic'
20,Byelorussian,dzice
21,Byelorussian,xmara
22,Byelorussian,s'cjudzena
23,Byelorussian,pryxodzic'
24,Byelorussian,lizyc'
25,Byelorussian,rezac'
26,Byelorussian,dzen'
27,Byelorussian,pamirac'
28,Byelorussian,kapac'
29,Byelorussian,brudny
30,Byelorussian,sabaka
31,Byelorussian,pic'
32,Byelorussian,suxi
33,Byelorussian,tupy
34,Byelorussian,pyl
35,Byelorussian,vuxa
36,Byelorussian,hleba
37,Byelorussian,es'ci
38,Byelorussian,jajko
39,Byelorussian,voka
40,Byelorussian,padac'
41,Byelorussian,"daleki,daleka"
42,Byelorussian,tuk
43,Byelorussian,bac'ka
44,Byelorussian,bajacca
45,Byelorussian,pera
46,Byelorussian,"kryxu,troxi"
47,Byelorussian,bicca
48,Byelorussian,vagon'
49,Byelorussian,ryba
50,Byelorussian,pjac'
51,Byelorussian,plavac'
52,Byelorussian,plyc'
53,Byelorussian,kvetka
54,Byelorussian,letac'
55,Byelorussian,"imhla,tuman"
56,Byelorussian,stapa
57,Byelorussian,catyry
58,Byelorussian,zjamaratyvac'
59,Byelorussian,plod
60,Byelorussian,davac'
61,Byelorussian,"dobry,dobra"
62,Byelorussian,trava
63,Byelorussian,zjaleny
64,Byelorussian,kiski
65,Byelorussian,volas
66,Byelorussian,ruka
67,Byelorussian,en
68,Byelorussian,galava
69,Byelorussian,cuc'
70,Byelorussian,serca
71,Byelorussian,cjazki
72,Byelorussian,"tut,tutaka"
73,Byelorussian,udarac'
74,Byelorussian,tpymac'
75,Byelorussian,jak
76,Byelorussian,naljarac'
77,Byelorussian,suzenec
78,Byelorussian,ja
79,Byelorussian,led
80,Byelorussian,kali
81,Byelorussian,u
82,Byelorussian,zabivac'
83,Byelorussian,vedac'
84,Byelorussian,vozera
85,Byelorussian,c'mjajacca
86,Byelorussian,list
87,Byelorussian,levy
88,Byelorussian,naga
89,Byelorussian,abkladac'
90,Byelorussian,zyc'
91,Byelorussian,vantroba
92,Byelorussian,"dawhi,dowha"
93,Byelorussian,vos
94,Byelorussian,"muzcyna,calavek"
95,Byelorussian,smat
96,Byelorussian,mjasa
97,Byelorussian,maci
98,Byelorussian,hara
99,Byelorussian,rot
100,Byelorussian,"imja,proz'vimca"
101,Byelorussian,"vuzki,vuzka"
102,Byelorussian,"blizki,blizka"
103,Byelorussian,karak
104,Byelorussian,"novy,nova"
105,Byelorussian,noc
106,Byelorussian,nos
107,Byelorussian,ne
108,Byelorussian,stary
109,Byelorussian,adzin
110,Byelorussian,insy
111,Byelorussian,asoba
112,Byelorussian,"huljac',zabawljacca"
113,Byelorussian,cjahnuc'
114,Byelorussian,pxac'
115,Byelorussian,
116,Byelorussian,cyrvony
117,Byelorussian,pravidlovy
118,Byelorussian,pravy
119,Byelorussian,raka
120,Byelorussian,sljax
121,Byelorussian,karin'
122,Byelorussian,vjarowka
123,Byelorussian,hnily
124,Byelorussian,"cerci,saravac'"
125,Byelorussian,sol'
126,Byelorussian,pjasok
127,Byelorussian,skazac'
128,Byelorussian,cyxacca
129,Byelorussian,mora
130,Byelorussian,bacyc'
131,Byelorussian,nasen'ne
132,Byelorussian,syc'
133,Byelorussian,vostry
134,Byelorussian,"karotki,karotka"
135,Byelorussian,pjajac'
136,Byelorussian,sjadzec'
137,Byelorussian,skura
138,Byelorussian,neba
139,Byelorussian,spac'
140,Byelorussian,maly
141,Byelorussian,cuc' pax
142,Byelorussian,dym
143,Byelorussian,hladki
144,Byelorussian,z'mjaja
145,Byelorussian,s'neh
146,Byelorussian,"nekatory,nejki"
147,Byelorussian,plerac'
148,Byelorussian,razscapljac'
149,Byelorussian,"sciskac',vyciskac'"
150,Byelorussian,prabic'
151,Byelorussian,stamc'
152,Byelorussian,zorka
153,Byelorussian,kij
154,Byelorussian,kamen'
155,Byelorussian,"prosty,prosta"
156,Byelorussian,ssac'
157,Byelorussian,sonca
158,Byelorussian,puxnuc'
159,Byelorussian,plavac'
160,Byelorussian,xvost
161,Byelorussian,hety
162,Byelorussian,tam
163,Byelorussian,jany
164,Byelorussian,tawsty
165,Byelorussian,cenki
166,Byelorussian,dumac'
167,Byelorussian,heta
168,Byelorussian,ty
169,Byelorussian,try
170,Byelorussian,kidac'
171,Byelorussian,vjazac'
172,Byelorussian,jazyk
173,Byelorussian,zub
174,Byelorussian,dreva
175,Byelorussian,pavoracyvac'
176,Byelorussian,dva
177,Byelorussian,vyracac'
178,Byelorussian,"spacyravac',isci"
179,Byelorussian,ceply
180,Byelorussian,myc'
181,Byelorussian,vada
182,Byelorussian,my
183,Byelorussian,"mokry,mokra"
184,Byelorussian,sto
185,Byelorussian,kali
186,Byelorussian,dze
187,Byelorussian,bely
188,Byelorussian,xto
189,Byelorussian,syroki
190,Byelorussian,zonka
191,Byelorussian,vecer
192,Byelorussian,krylo
193,Byelorussian,vycirac'
194,Byelorussian,z
195,Byelorussian,zancyna
196,Byelorussian,les
197,Byelorussian,carvjak
198,Byelorussian,vy
199,Byelorussian,hod
200,Byelorussian,zowty
1,Catalan,"tot,tots"
2,Catalan,"e,y"
3,Catalan,animal
4,Catalan,cendra
5,Catalan,"ab,de,per"
6,Catalan,"espatllas,esquena"
7,Catalan,mal
8,Catalan,escorxz
9,Catalan,peoque
10,Catalan,ventre
11,Catalan,gran
12,Catalan,"aucell,moixo"
13,Catalan,"mossegar,picar"
14,Catalan,negre
15,Catalan,sanch
16,Catalan,bufar
17,Catalan,os
18,Catalan,alenar
19,Catalan,cremar
20,Catalan,"criatura,nen,noy,nin"
21,Catalan,nuvol
22,Catalan,fret
23,Catalan,venir
24,Catalan,contar
25,Catalan,tallar
26,Catalan,dia
27,Catalan,morirse
28,Catalan,"cavar,penetrar"
29,Catalan,"brut,porch"
30,Catalan,"ca,gos"
31,Catalan,beurer
32,Catalan,"sech,aixut"
33,Catalan,"rom,amussado"
34,Catalan,pols
35,Catalan,"aurella,orella,oido"
36,Catalan,terra
37,Catalan,menjar
38,Catalan,ou
39,Catalan,ull
40,Catalan,caurer
41,Catalan,lluny
42,Catalan,"gras,greix"
43,Catalan,pare
44,Catalan,"temorejar,temer"
45,Catalan,ploma
46,Catalan,"poch,mica"
47,Catalan,"lluytar,batallar,bregar,combatrer"
48,Catalan,foch
49,Catalan,peix
50,Catalan,cinch
51,Catalan,"surar,fregar"
52,Catalan,"correr,rajar"
53,Catalan,flors
54,Catalan,"aixecar,alsar"
55,Catalan,"boyra,baixa,broma"
56,Catalan,peu
57,Catalan,quatre
58,Catalan,"gelar,flassar"
59,Catalan,fruyt
60,Catalan,donar
61,Catalan,bo
62,Catalan,herba
63,Catalan,vert
64,Catalan,budell
65,Catalan,"pel,cabello"
66,Catalan,ma
67,Catalan,lo
68,Catalan,cap
69,Catalan,sentir
70,Catalan,cor
71,Catalan,"feixuch,pesant"
72,Catalan,"aqui,ensa"
73,Catalan,"copejar,batrer"
74,Catalan,tenir
75,Catalan,"com,quant"
76,Catalan,"cassar,persequir la cassa"
77,Catalan,"marit,home,espos"
78,Catalan,jo
79,Catalan,"gel,glas"
80,Catalan,si
81,Catalan,"sobre,ab,de"
82,Catalan,nafrar
83,Catalan,"sentirse,semblarse"
84,Catalan,"estany,bassa,llach"
85,Catalan,"riurer,riurersen"
86,Catalan,fulla
87,Catalan,"esquer,sinistre"
88,Catalan,"cama,cuixa"
89,Catalan,"resposar,descansar,jaurer"
90,Catalan,"vivrer,estar"
91,Catalan,fetge
92,Catalan,llarch
93,Catalan,poll
94,Catalan,home
95,Catalan,"molt,forsa"
96,Catalan,carn
97,Catalan,mare
98,Catalan,"mont,montanya"
99,Catalan,boca
100,Catalan,nom
101,Catalan,estret
102,Catalan,"tanca,a prop"
103,Catalan,"coll,cama,cua"
104,Catalan,nou
105,Catalan,nit
106,Catalan,nas
107,Catalan,no
108,Catalan,"vell,ancia,jayo"
109,Catalan,"un,hu"
110,Catalan,altra
111,Catalan,
112,Catalan,riurerse d'algu
113,Catalan,"traurer,tirar"
114,Catalan,empenyer
115,Catalan,"plourer,caurer"
116,Catalan,roig
117,Catalan,"recte,dret,just"
118,Catalan,dreta
119,Catalan,riu
120,Catalan,"cami,sender"
121,Catalan,"arrel,rel"
122,Catalan,"corda,cordill"
123,Catalan,"pudrit,corromput"
124,Catalan,fregar
125,Catalan,sal
126,Catalan,sorra
127,Catalan,dir
128,Catalan,"gratar,fregar"
129,Catalan,mar
130,Catalan,veurer
131,Catalan,"grana,gra"
132,Catalan,"cusir,juntar"
133,Catalan,"tallant,carnicer"
134,Catalan,curt
135,Catalan,copla
136,Catalan,assentarse
137,Catalan,pell
138,Catalan,cel
139,Catalan,adormirse
140,Catalan,petit
141,Catalan,olorar
142,Catalan,"fum,gassa"
143,Catalan,llis
144,Catalan,"serp,serpent"
145,Catalan,neu
146,Catalan,colcom
147,Catalan,"etjegar,eixir pansas"
148,Catalan,"crivellar,esquerdar"
149,Catalan,"comprimir,estrenyer,pitjar"
150,Catalan,"pegar,enganyar,burlar,mocar"
151,Catalan,
152,Catalan,"estela,estel"
153,Catalan,"pern,garrot"
154,Catalan,"pedra,roch"
155,Catalan,"recte,dret"
156,Catalan,"xuclar,tragar,atracar"
157,Catalan,sol
158,Catalan,"inflar,entumir"
159,Catalan,surar
160,Catalan,"cua,llufa"
161,Catalan,"es,aqueix,eix"
162,Catalan,aqui
163,Catalan,
164,Catalan,"gros,gruixut,espes"
165,Catalan,"flach,prim"
166,Catalan,donar pienso
167,Catalan,"aquest,est"
168,Catalan,"teu,ton,ta"
169,Catalan,tres
170,Catalan,"llansar,etjegar,tirar,disparar,decantarse"
171,Catalan,"unir,juntar,lligar"
172,Catalan,llengua
173,Catalan,dent
174,Catalan,"arbre,abre"
175,Catalan,tornar
176,Catalan,dos
177,Catalan,"traurer,gitar"
178,Catalan,"anar,caminar"
179,Catalan,calent
180,Catalan,"rentar,cerar"
181,Catalan,aygua
182,Catalan,nosaltres
183,Catalan,"mullada,mulladura"
184,Catalan,"quin,que"
185,Catalan,quant
186,Catalan,ahont
187,Catalan,blanch
188,Catalan,qui
189,Catalan,ample
190,Catalan,"muller,dona"
191,Catalan,"vent,ayre"
192,Catalan,"fila,fliera,renglera"
193,Catalan,"netejar,escurar,llimpiar"
194,Catalan,ab
195,Catalan,dona
196,Catalan,bosch
197,Catalan,"cuch,cuca"
198,Catalan,vosaltres
199,Catalan,any
200,Catalan,groch
1,Czech,vse
2,Czech,a
3,Czech,zvire
4,Czech,popel
5,Czech,"u,pri,za,na,po,podle,ku"
6,Czech,"zpatky,nazpet,zpet"
7,Czech,spatny
8,Czech,kura
9,Czech,protoze
10,Czech,bricho
11,Czech,velky
12,Czech,ptak
13,Czech,kousati
14,Czech,cerny
15,Czech,krev
16,Czech,foukati
17,Czech,kost
18,Czech,dychati
19,Czech,horeti
20,Czech,dite
21,Czech,"oblak,mrak"
22,Czech,"chladny,studeny"
23,Czech,prijiti
24,Czech,pocitati
25,Czech,rezati
26,Czech,den
27,Czech,zemriti
28,Czech,kopati
29,Czech,spinavy
30,Czech,pes
31,Czech,piti
32,Czech,suchy
33,Czech,tupy
34,Czech,prach
35,Czech,ucho
36,Czech,puda
37,Czech,jisti
38,Czech,vejce
39,Czech,oko
40,Czech,upadnouti
41,Czech,daleko
42,Czech,
43,Czech,otec
44,Czech,bati se
45,Czech,pero
46,Czech,malo
47,Czech,"bojovati,zapasiti"
48,Czech,ohen
49,Czech,ryba
50,Czech,pet
51,Czech,"vznaseti se,drzeti se na vode"
52,Czech,teci
53,Czech,kvetina
54,Czech,letati
55,Czech,mlha
56,Czech,noha
57,Czech,ctyri
58,Czech,mrznouti
59,Czech,ovoce
60,Czech,davati
61,Czech,dobry
62,Czech,trava
63,Czech,zeleny
64,Czech,vnitrnosti
65,Czech,vlasy
66,Czech,ruka
67,Czech,on
68,Czech,hlava
69,Czech,slyseti
70,Czech,srdce
71,Czech,tezky
72,Czech,zde
73,Czech,uhoditi
74,Czech,drzeti
75,Czech,jak
76,Czech,loviti
77,Czech,manzel
78,Czech,ja
79,Czech,led
80,Czech,jestli
81,Czech,v
82,Czech,zabiti
83,Czech,"vedeti,znati"
84,Czech,jezero
85,Czech,smati se
86,Czech,list
87,Czech,levy
88,Czech,noha
89,Czech,lezeti
90,Czech,ziti
91,Czech,jatra
92,Czech,dlouhy
93,Czech,ves
94,Czech,muz
95,Czech,"mnoho,mnohy"
96,Czech,maso
97,Czech,matka
98,Czech,hora
99,Czech,usta
100,Czech,jmeno
101,Czech,uzky
102,Czech,blizky
103,Czech,"krk,sije"
104,Czech,novy
105,Czech,noc
106,Czech,nos
107,Czech,ne
108,Czech,stary
109,Czech,jeden
110,Czech,"jiny,druhy"
111,Czech,osoba
112,Czech,hrati
113,Czech,tahati
114,Czech,strkati
115,Czech,prseti
116,Czech,cerveny
117,Czech,spravny
118,Czech,pravy
119,Czech,reka
120,Czech,cesta
121,Czech,koren
122,Czech,provaz
123,Czech,"shnily,zetlely"
124,Czech,triti
125,Czech,sul
126,Czech,pisek
127,Czech,rici
128,Czech,skrabati se
129,Czech,more
130,Czech,videti
131,Czech,"seme,zrno"
132,Czech,siti
133,Czech,ostry
134,Czech,kratky
135,Czech,zpivati
136,Czech,sedeti
137,Czech,kuze
138,Czech,nebe
139,Czech,spati
140,Czech,maly
141,Czech,cititi
142,Czech,kour
143,Czech,hladky
144,Czech,had
145,Czech,snih
146,Czech,nektery
147,Czech,plivati
148,Czech,"stipati,rozstipnouti"
149,Czech,"zmacknouti,stisknouti"
150,Czech,"bodnouti,bodati"
151,Czech,stati
152,Czech,hvezda
153,Czech,"tycka,hul"
154,Czech,kamen
155,Czech,primy
156,Czech,ssati
157,Czech,slunce
158,Czech,opuchnouti
159,Czech,plavati
160,Czech,ocas
161,Czech,"to,ktery,onen"
162,Czech,tam
163,Czech,oni
164,Czech,husty
165,Czech,tenky
166,Czech,mysleti
167,Czech,to tento
168,Czech,ty
169,Czech,tri
170,Czech,hazeti
171,Czech,"vazati,svazovati"
172,Czech,jazyk
173,Czech,zub
174,Czech,strom
175,Czech,"tociti,otaceti"
176,Czech,"dva,dve"
177,Czech,zvraceti
178,Czech,"prochazeti se,choditi"
179,Czech,teply
180,Czech,myti
181,Czech,voda
182,Czech,my
183,Czech,"mokry,vlhky"
184,Czech,co
185,Czech,kdy
186,Czech,kde
187,Czech,bily
188,Czech,kdo
189,Czech,siroky
190,Czech,manzelka
191,Czech,vitr
192,Czech,kridlo
193,Czech,utirati
194,Czech,s
195,Czech,zena
196,Czech,les
197,Czech,cerv
198,Czech,vy
199,Czech,rok
200,Czech,zluty
1,Czech E,fsecki
2,Czech E,ay
3,Czech E,zvire
4,Czech E,popel
5,Czech E,"na,pri"
6,Czech E,hrbet
7,Czech E,"zle,spatne"
8,Czech E,kura
9,Czech E,proto
10,Czech E,brux
11,Czech E,"velike,hrube"
12,Czech E,ftak
13,Czech E,kusat
14,Czech E,cerne
15,Czech E,kref
16,Czech E,fukat
17,Czech E,kosty
18,Czech E,dixat
19,Czech E,horit
20,Czech E,dyitye
21,Czech E,"mracno,obloha"
22,Czech E,zima
23,Czech E,priyit
24,Czech E,citat
25,Czech E,rezat
26,Czech E,deny
27,Czech E,"umrit,skapat"
28,Czech E,kopat
29,Czech E,spinave
30,Czech E,pes
31,Czech E,pit
32,Czech E,suxe
33,Czech E,tupe
34,Czech E,prax
35,Czech E,uxo
36,Czech E,"zem,hlina"
37,Czech E,yest
38,Czech E,vayco
39,Czech E,oko
40,Czech E,padnut
41,Czech E,daleko
42,Czech E,tlusti
43,Czech E,"tata,otec"
44,Czech E,batsa
45,Czech E,pero
46,Czech E,par
47,Czech E,bitsa
48,Czech E,oheny
49,Czech E,riba
50,Czech E,pyet
51,Czech E,stat na vode
52,Czech E,tecit
53,Czech E,kvitko
54,Czech E,letat
55,Czech E,mhla
56,Czech E,noha
57,Czech E,stiri
58,Czech E,zmrznut
59,Czech E,ovoce
60,Czech E,dat
61,Czech E,dobre
62,Czech E,trava
63,Czech E,zelene
64,Czech E,streva
65,Czech E,vlasi
66,Czech E,ruka
67,Czech E,on
68,Czech E,hlava
69,Czech E,cut
70,Czech E,srdco
71,Czech E,tyaske
72,Czech E,"tu,tadi,sem"
73,Czech E,"uderit,bit"
74,Czech E,drzat
75,Czech E,yak
76,Czech E,"it na hon,honyit"
77,Czech E,muz
78,Czech E,ya
79,Czech E,let
80,Czech E,kebi
81,Czech E,"v,ve"
82,Czech E,zabit
83,Czech E,vedet
84,Czech E,yazero
85,Czech E,smitsa
86,Czech E,list
87,Czech E,levo
88,Czech E,noha
89,Czech E,lezat
90,Czech E,zit
91,Czech E,yatra
92,Czech E,dluhe
93,Czech E,ves
94,Czech E,"xlap,muski"
95,Czech E,hodne
96,Czech E,maso
97,Czech E,"mama,matka"
98,Czech E,hora
99,Czech E,huba
100,Czech E,meno
101,Czech E,usko
102,Czech E,blisko
103,Czech E,krk
104,Czech E,nove
105,Czech E,noc
106,Czech E,nos
107,Czech E,ne
108,Czech E,stare
109,Czech E,yeden
110,Czech E,druhe
111,Czech E,
112,Czech E,hrat
113,Czech E,tahnut
114,Czech E,tlacit
115,Czech E,prsat
116,Czech E,cervene
117,Czech E,akorat
118,Czech E,pravo
119,Czech E,xvoynyica
120,Czech E,cesta
121,Czech E,koreny
122,Czech E,"spagat,provas"
123,Czech E,hnyile
124,Czech E,mastyit
125,Czech E,sul
126,Czech E,pisek
127,Czech E,"povit,reknut"
128,Czech E,scrabat
129,Czech E,more
130,Czech E,videt
131,Czech E,zrno
132,Czech E,sit
133,Czech E,ostre
134,Czech E,kratke
135,Czech E,spivat
136,Czech E,sedet
137,Czech E,koza
138,Czech E,nebe
139,Czech E,spat
140,Czech E,male
141,Czech E,nyuxat
142,Czech E,kur
143,Czech E,hladke
144,Czech E,had
145,Czech E,sneh
146,Czech E,"nekere,nekolik"
147,Czech E,plut
148,Czech E,roscipnut
149,Czech E,styisknut
150,Czech E,pixnut
151,Czech E,stat
152,Czech E,hvezda
153,Czech E,palicka
154,Czech E,kameny
155,Czech E,rovne
156,Czech E,cucat
157,Czech E,slunko
158,Czech E,spuxnut
159,Czech E,plovat
160,Czech E,ocas
161,Czech E,to
162,Czech E,tam
163,Czech E,oni
164,Czech E,tluste
165,Czech E,tenke
166,Czech E,mislet
167,Czech E,toto
168,Czech E,ti
169,Czech E,tri
170,Czech E,hodyit
171,Czech E,zvazat
172,Czech E,jazik
173,Czech E,zup
174,Czech E,strom
175,Czech E,krutit
176,Czech E,dva
177,Czech E,vracat
178,Czech E,xodyit
179,Czech E,teple
180,Czech E,"umit,prat"
181,Czech E,voda
182,Czech E,mi
183,Czech E,mokre
184,Czech E,co
185,Czech E,kedi
186,Czech E,"gde,kam"
187,Czech E,bile
188,Czech E,gdo
189,Czech E,siroke
190,Czech E,zena
191,Czech E,"luft,vetr"
192,Czech E,kridlo
193,Czech E,utrit
194,Czech E,"s,se"
195,Czech E,zena
196,Czech E,les
197,Czech E,cerf
198,Czech E,vi
199,Czech E,rok
200,Czech E,zlute
1,Danish,al
2,Danish,og
3,Danish,dyr
4,Danish,aske
5,Danish,ved
6,Danish,bag
