Feature,Language,Term
55,Afrikaans,"mis,newel"
56,Afrikaans,voet
57,Afrikaans,vier
58,Afrikaans,vries
59,Afrikaans,vrug
60,Afrikaans,gee
61,Afrikaans,goed
62,Afrikaans,gras
63,Afrikaans,groen
64,Afrikaans,"ingewand,derm"
65,Afrikaans,"haar,hare"
66,Afrikaans,hand
67,Afrikaans,hy
68,Afrikaans,"hoof,kop"
69,Afrikaans,hoor
70,Afrikaans,hart
71,Afrikaans,swaar
72,Afrikaans,hier
73,Afrikaans,"slaan,raps"
74,Afrikaans,hou
75,Afrikaans,hoe
76,Afrikaans,"jag,ja,jae"
77,Afrikaans,"man,eggenoot"
78,Afrikaans,"ek,ekke"
79,Afrikaans,ys
80,Afrikaans,"as,indien"
81,Afrikaans,in
82,Afrikaans,doodmaak
83,Afrikaans,weet
84,Afrikaans,"meer,pan"
85,Afrikaans,lag
86,Afrikaans,"blad,blaar"
87,Afrikaans,"links,hot"
88,Afrikaans,been
89,Afrikaans,"le,leg"
90,Afrikaans,"leef,lewe"
91,Afrikaans,lewer
92,Afrikaans,lang
93,Afrikaans,luis
94,Afrikaans,man
95,Afrikaans,"baie,veel"
96,Afrikaans,"vlees,vleis"
97,Afrikaans,"moeder,ma"
98,Afrikaans,berg
99,Afrikaans,mond
100,Afrikaans,naam
101,Afrikaans,"nou,eng"
102,Afrikaans,"naby,digby"
103,Afrikaans,"hals,nek"
104,Afrikaans,nuwe
105,Afrikaans,"nag,aand"
106,Afrikaans,neus
107,Afrikaans,nie
108,Afrikaans,"oud,ou"
109,Afrikaans,een
110,Afrikaans,ander
111,Afrikaans,persoon
112,Afrikaans,speel
113,Afrikaans,trek
114,Afrikaans,"voort-dryf,voort-drywe"
115,Afrikaans,"reen,regent"
116,Afrikaans,rooi
117,Afrikaans,reg
118,Afrikaans,reg
119,Afrikaans,rivier
120,Afrikaans,weg
121,Afrikaans,wortel
122,Afrikaans,tou
123,Afrikaans,"rot,verrot,bederf,bederwe"
124,Afrikaans,"vryf,vrywe,skuur"
125,Afrikaans,sout
126,Afrikaans,sand
127,Afrikaans,se
128,Afrikaans,krap
129,Afrikaans,see
130,Afrikaans,sien
131,Afrikaans,saad
132,Afrikaans,naaie
133,Afrikaans,skerp
134,Afrikaans,kort
135,Afrikaans,sing
136,Afrikaans,sit
137,Afrikaans,huid
138,Afrikaans,"hemel,lug"
139,Afrikaans,slaap
140,Afrikaans,klein
141,Afrikaans,ruik
142,Afrikaans,rook
143,Afrikaans,"glad,sag"
144,Afrikaans,slang
145,Afrikaans,"kapok,sneeu"
146,Afrikaans,"enige,party,sommige"
147,Afrikaans,"spu,spoe"
148,Afrikaans,"splits,verdeel"
149,Afrikaans,uitpers
150,Afrikaans,steek
151,Afrikaans,staan
152,Afrikaans,ster
153,Afrikaans,stok
154,Afrikaans,steen
155,Afrikaans,reg
156,Afrikaans,"suig,suie"
157,Afrikaans,son
158,Afrikaans,"opswel,swel"
159,Afrikaans,swem
160,Afrikaans,stert
161,Afrikaans,dat
162,Afrikaans,daar
163,Afrikaans,"hulle,hul"
164,Afrikaans,"dik,dig,troebel,troewel"
165,Afrikaans,dun
166,Afrikaans,dink
167,Afrikaans,"die,dit,nierdie"
168,Afrikaans,"u,jy"
169,Afrikaans,drie
170,Afrikaans,"gooi,smyt"
171,Afrikaans,"vasmaak,bind,aanbind"
172,Afrikaans,tong
173,Afrikaans,tand
174,Afrikaans,boom
175,Afrikaans,"omdraai,draai,keer"
176,Afrikaans,twee
177,Afrikaans,"braak,vomeer,vermeer"
178,Afrikaans,"loop,voetslaan"
179,Afrikaans,warm
180,Afrikaans,was
181,Afrikaans,water
182,Afrikaans,ons
183,Afrikaans,nat
184,Afrikaans,"wat,watter,hoe"
185,Afrikaans,"wanneer,toe,as"
186,Afrikaans,"waar,waarheen"
187,Afrikaans,wit
188,Afrikaans,wie
189,Afrikaans,wyde
190,Afrikaans,"vrou,eggenote,gade"
191,Afrikaans,wind
192,Afrikaans,vleuel
193,Afrikaans,"afdroe,afdroog,afvee"
194,Afrikaans,met
195,Afrikaans,vrou
196,Afrikaans,bos
197,Afrikaans,wurm
198,Afrikaans,"julle,jul"
199,Afrikaans,jaar
200,Afrikaans,geel
1,Albanian C,gith
2,Albanian C,e
3,Albanian C,animax
4,Albanian C,xi-ri
5,Albanian C,te
6,Albanian C,"gharesi,krax-t,karina"
7,Albanian C,lik
8,Albanian C,
9,Albanian C,se
10,Albanian C,bark
11,Albanian C,i-math
12,Albanian C,zog
13,Albanian C,ze ne ac
14,Albanian C,i-zi
15,Albanian C,gak
16,Albanian C,frin
17,Albanian C,ast
18,Albanian C,catar
19,Albanian C,djek
20,Albanian C,femij
21,Albanian C,mjegugha
22,Albanian C,titim
23,Albanian C,"vin,arth"
24,Albanian C,dhembron
25,Albanian C,pres
26,Albanian C,dit
27,Albanian C,vdes
28,Albanian C,kavar
29,Albanian C,ghordu
30,Albanian C,ken
31,Albanian C,pi
32,Albanian C,i-term
33,Albanian C,
34,Albanian C,pluxurac
35,Albanian C,ves
36,Albanian C,bot
37,Albanian C,xa
38,Albanian C,ve
39,Albanian C,si
40,Albanian C,"bie,ra"
41,Albanian C,gharghu
42,Albanian C,
43,Albanian C,"tata,jati"
44,Albanian C,trembem
45,Albanian C,pend
46,Albanian C,pak
47,Albanian C,zexem
48,Albanian C,zjar
49,Albanian C,pisk
50,Albanian C,pes
51,Albanian C,
52,Albanian C,
53,Albanian C,lule
54,Albanian C,fluturon
55,Albanian C,ghurfi
56,Albanian C,kemb
57,Albanian C,katr
58,Albanian C,
59,Albanian C,
60,Albanian C,jap
61,Albanian C,i-mir
62,Albanian C,bar
63,Albanian C,virdhi
64,Albanian C,zor
65,Albanian C,krip
66,Albanian C,dor
67,Albanian C,aji
68,Albanian C,krie
69,Albanian C,gegem
70,Albanian C,zember
71,Albanian C,i-rend
72,Albanian C,xtu
73,Albanian C,fort
74,Albanian C,mban
75,Albanian C,si
76,Albanian C,vete akaca
77,Albanian C,i-sok
78,Albanian C,u
79,Albanian C,gac
80,Albanian C,na
81,Albanian C,te
82,Albanian C,vras
83,Albanian C,di
84,Albanian C,laghu
85,Albanian C,kes
86,Albanian C,flet
87,Albanian C,e-strembra
88,Albanian C,kemb
89,Albanian C,stixem
90,Albanian C,"ron,rova"
91,Albanian C,u-fighatu
92,Albanian C,i-glat
